起点,终点,道路公里,道路分钟,说明,更新日期
克鲁斯港,加拉奇科,31.3,33.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,伊科德龙血树公园,27.2,28.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,马斯卡接驳点 · 圣地亚哥-德尔泰德,43.9,45.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,洛斯吉甘特斯港／巨人悬崖,58.3,61.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,泰德缆车下站,39.2,46.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,阿纳加 · Cruz del Carmen,35.9,32.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,特雷西塔海滩,45.4,41.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
克鲁斯港,埃尔梅达诺海滩,92.0,64.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,圣克鲁斯市区,61.7,55.0,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,北机场 TFN,54.9,51.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,南机场 TFS,71.7,77.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,科斯塔阿德赫／Puerto Colón,53.5,54.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,洛斯克里斯蒂亚诺斯港,58.0,59.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,拉古纳古城,52.8,47.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,拉奥罗塔瓦,28.2,32.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,克鲁斯港,31.9,33.8,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,伊科德龙血树公园,5.9,9.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,马斯卡接驳点 · 圣地亚哥-德尔泰德,25.5,29.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,洛斯吉甘特斯港／巨人悬崖,39.8,45.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,泰德缆车下站,64.0,72.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,阿纳加 · Cruz del Carmen,60.8,59.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,特雷西塔海滩,70.3,67.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
加拉奇科,埃尔梅达诺海滩,75.2,68.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,圣克鲁斯市区,57.4,49.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,北机场 TFN,50.6,45.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,南机场 TFS,65.0,70.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,科斯塔阿德赫／Puerto Colón,46.8,47.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,洛斯克里斯蒂亚诺斯港,51.3,52.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,拉古纳古城,48.5,41.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,拉奥罗塔瓦,23.9,26.6,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,克鲁斯港,27.7,28.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,加拉奇科,6.1,9.5,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,马斯卡接驳点 · 圣地亚哥-德尔泰德,18.8,21.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,洛斯吉甘特斯港／巨人悬崖,33.1,38.3,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,泰德缆车下站,59.7,66.7,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,阿纳加 · Cruz del Carmen,56.5,53.9,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,特雷西塔海滩,66.0,62.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
伊科德龙血树公园,埃尔梅达诺海滩,68.5,61.1,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,圣克鲁斯市区,75.8,66.2,无实时路况；不含候车、缆车、游览和停车,2026-09-20
马斯卡接驳点 · 圣地亚哥-德尔泰德,北机场 TFN,69.0,62.4,无实时路况；不含候车、缆车、游览和停车,2026-09-20
